VTX, IDX, ATTRIBUTE0.x, ATTRIBUTE0.y, ATTRIBUTE0.z, ATTRIBUTE1.x, ATTRIBUTE1.y, ATTRIBUTE1.z, ATTRIBUTE1.w, ATTRIBUTE2.x, ATTRIBUTE2.y, ATTRIBUTE2.z, ATTRIBUTE2.w, ATTRIBUTE5.x, ATTRIBUTE5.y, ATTRIBUTE13.x, ATTRIBUTE13.y, ATTRIBUTE13.z, ATTRIBUTE13.w, ATTRIBUTE14.x, ATTRIBUTE14.y, ATTRIBUTE14.z, ATTRIBUTE14.w, ATTRIBUTE3.x, ATTRIBUTE3.y, ATTRIBUTE3.z, ATTRIBUTE3.w, ATTRIBUTE15.x, ATTRIBUTE15.y, ATTRIBUTE15.z, ATTRIBUTE15.w, ATTRIBUTE4.x, ATTRIBUTE4.y, ATTRIBUTE4.z, ATTRIBUTE4.w, ATTRIBUTE12.x, ATTRIBUTE12.y, ATTRIBUTE12.z, ATTRIBUTE11.x, ATTRIBUTE11.y, ATTRIBUTE11.z
3710, 754, -6.3569, -2.3416, 9.542, 0.97638, 0.03937, -0.20472, 1.00, -0.05512, 1.00, -0.05512, 1.00, 0.1106, 0.72363, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3711, 758, -7.2953, -2.4707, 9.9229, 0.91339, 0.35433, -0.20472, 1.00, -0.34646, 0.93701, 0.07087, 1.00, 0.09949, 0.72168, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3712, 759, -7.4417, -2.5435, 9.5828, 0.92913, 0.29921, -0.2126, 1.00, -0.34646, 0.90551, -0.23622, 1.00, 0.09839, 0.72559, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3713, 755, -6.6229, -2.5239, 9.0878, 0.97638, 0.07087, -0.2126, 1.00, -0.11024, 0.98425, -0.16535, 1.00, 0.1084, 0.729, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3714, 755, -6.6229, -2.5239, 9.0878, 0.97638, 0.07087, -0.2126, 1.00, -0.11024, 0.98425, -0.16535, 1.00, 0.1084, 0.729, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3715, 759, -7.4417, -2.5435, 9.5828, 0.92913, 0.29921, -0.2126, 1.00, -0.34646, 0.90551, -0.23622, 1.00, 0.09839, 0.72559, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3716, 760, -7.4626, -2.6582, 9.3976, 0.92913, 0.29134, -0.2126, 1.00, -0.32283, 0.93701, -0.14961, 1.00, 0.09814, 0.72803, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3717, 759, -7.4417, -2.5435, 9.5828, 0.92913, 0.29921, -0.2126, 1.00, -0.34646, 0.90551, -0.23622, 1.00, 0.09839, 0.72559, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3718, 761, -8.2875, -3.0198, 9.6545, 0.81102, 0.55118, -0.1811, 1.00, -0.5748, 0.81102, -0.12598, 1.00, 0.08728, 0.72705, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
3719, 760, -7.4626, -2.6582, 9.3976, 0.92913, 0.29134, -0.2126, 1.00, -0.32283, 0.93701, -0.14961, 1.00, 0.09814, 0.72803, 1.00, 1.00, 1.00, 1.00, 1, 0, 0, 0, 1, 0, 0, 0, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
