Element, data.x, data.y, data.z, data.w
176, -0.04577, 0.07299, 0.99628, -0.99008
177, 0.74398, -0.66306, 0.08271, -10.44804
178, 0.66663, 0.745, -0.02393, 2.34824
179, -0.04575, 0.07294, 0.99629, -0.53004
180, 0.99025, -0.06221, 0.12462, -19.56683
181, 0.06467, 0.99778, -0.01578, 1.88782
182, -0.12336, 0.02369, 0.99208, 0.59999
183, 0.00, 0.00, 0.00, 0.00
184, 0.00, 0.00, 0.00, 0.00
185, 0.00, 0.00, 0.00, 0.00
186, 0.00, 0.00, 0.00, 0.00
187, 0.00, 0.00, 0.00, 0.00
188, 0.00, 0.00, 0.00, 0.00
189, 0.00, 0.00, 0.00, 0.00
190, 0.00, 0.00, 0.00, 0.00
191, 0.00, 0.00, 0.00, 0.00
