VTX,	IDX,	Position.x,	Position.y,	Position.z
5191.0,	1092.0,	-22.003496170043945,	16.759191513061523,	19.082765579223633
5192.0,	1093.0,	-21.878894805908203,	16.73857879638672,	19.48081398010254
5193.0,	1090.0,	-21.414186477661133,	15.581552505493164,	18.982749938964844
5194.0,	1087.0,	-19.332534790039062,	15.660959243774414,	16.86147689819336
5195.0,	1094.0,	-20.918996810913086,	16.62483024597168,	17.326078414916992
5196.0,	1090.0,	-21.414186477661133,	15.581552505493164,	18.982749938964844
5197.0,	1094.0,	-20.918996810913086,	16.62483024597168,	17.326078414916992
5198.0,	1092.0,	-22.003496170043945,	16.759191513061523,	19.082765579223633
5199.0,	1087.0,	-19.332534790039062,	15.660959243774414,	16.86147689819336
5200.0,	1091.0,	-20.204177856445312,	17.228973388671875,	15.596132278442383
5201.0,	1094.0,	-20.918996810913086,	16.62483024597168,	17.326078414916992
5202.0,	1095.0,	-22.279586791992188,	18.00328254699707,	19.154964447021484
5203.0,	1093.0,	-21.878894805908203,	16.73857879638672,	19.48081398010254
5204.0,	1092.0,	-22.003496170043945,	16.759191513061523,	19.082765579223633
5205.0,	1093.0,	-21.878894805908203,	16.73857879638672,	19.48081398010254
5206.0,	1095.0,	-22.279586791992188,	18.00328254699707,	19.154964447021484
5207.0,	1096.0,	-22.155176162719727,	18.028175354003906,	19.517078399658203
5208.0,	1097.0,	-22.036434173583984,	19.20784568786621,	19.473682403564453
5209.0,	1096.0,	-22.155176162719727,	18.028175354003906,	19.517078399658203
5210.0,	1095.0,	-22.279586791992188,	18.00328254699707,	19.154964447021484
5211.0,	1098.0,	-21.56057357788086,	18.12994384765625,	17.468353271484375
5212.0,	1092.0,	-22.003496170043945,	16.759191513061523,	19.082765579223633
5213.0,	1094.0,	-20.918996810913086,	16.62483024597168,	17.326078414916992
5214.0,	1092.0,	-22.003496170043945,	16.759191513061523,	19.082765579223633
5215.0,	1098.0,	-21.56057357788086,	18.12994384765625,	17.468353271484375
5216.0,	1095.0,	-22.279586791992188,	18.00328254699707,	19.154964447021484
5217.0,	1094.0,	-20.918996810913086,	16.62483024597168,	17.326078414916992
5218.0,	1091.0,	-20.204177856445312,	17.228973388671875,	15.596132278442383
5219.0,	1098.0,	-21.56057357788086,	18.12994384765625,	17.468353271484375
5220.0,	1097.0,	-22.036434173583984,	19.20784568786621,	19.473682403564453
5221.0,	1095.0,	-22.279586791992188,	18.00328254699707,	19.154964447021484
5222.0,	1099.0,	-22.1777286529541,	19.189332962036133,	19.062541961669922
5223.0,	1098.0,	-21.56057357788086,	18.12994384765625,	17.468353271484375
5224.0,	1099.0,	-22.1777286529541,	19.189332962036133,	19.062541961669922
5225.0,	1095.0,	-22.279586791992188,	18.00328254699707,	19.154964447021484
5226.0,	1100.0,	-21.39067268371582,	20.36837387084961,	19.325838088989258
5227.0,	1097.0,	-22.036434173583984,	19.20784568786621,	19.473682403564453
5228.0,	1099.0,	-22.1777286529541,	19.189332962036133,	19.062541961669922
5229.0,	1100.0,	-21.39067268371582,	20.36837387084961,	19.325838088989258
5230.0,	1099.0,	-22.1777286529541,	19.189332962036133,	19.062541961669922
5231.0,	1101.0,	-21.517419815063477,	20.341461181640625,	18.89735221862793
5232.0,	1101.0,	-21.517419815063477,	20.341461181640625,	18.89735221862793
5233.0,	1102.0,	-20.048320770263672,	21.40935516357422,	18.972864151000977
5234.0,	1100.0,	-21.39067268371582,	20.36837387084961,	19.325838088989258
5235.0,	1099.0,	-22.1777286529541,	19.189332962036133,	19.062541961669922
5236.0,	1098.0,	-21.56057357788086,	18.12994384765625,	17.468353271484375
5237.0,	1103.0,	-21.36275291442871,	19.053421020507812,	17.315378189086914
5238.0,	1099.0,	-22.1777286529541,	19.189332962036133,	19.062541961669922
5239.0,	1103.0,	-21.36275291442871,	19.053421020507812,	17.315378189086914
5240.0,	1101.0,	-21.517419815063477,	20.341461181640625,	18.89735221862793
5241.0,	1102.0,	-20.048320770263672,	21.40935516357422,	18.972864151000977
5242.0,	1104.0,	-18.177669525146484,	22.099491119384766,	17.96954345703125
5243.0,	1105.0,	-18.119747161865234,	22.120811462402344,	18.388839721679688
5244.0,	1102.0,	-20.048320770263672,	21.40935516357422,	18.972864151000977
5245.0,	1101.0,	-21.517419815063477,	20.341461181640625,	18.89735221862793
5246.0,	1106.0,	-20.095205307006836,	21.40732192993164,	18.515777587890625
5247.0,	1106.0,	-20.095205307006836,	21.40732192993164,	18.515777587890625
5248.0,	1104.0,	-18.177669525146484,	22.099491119384766,	17.96954345703125
5249.0,	1102.0,	-20.048320770263672,	21.40935516357422,	18.972864151000977
5250.0,	1107.0,	-20.686113357543945,	19.837841033935547,	16.95224952697754
5251.0,	1106.0,	-20.095205307006836,	21.40732192993164,	18.515777587890625
5252.0,	1101.0,	-21.517419815063477,	20.341461181640625,	18.89735221862793
5253.0,	1107.0,	-20.686113357543945,	19.837841033935547,	16.95224952697754
5254.0,	1101.0,	-21.517419815063477,	20.341461181640625,	18.89735221862793
5255.0,	1103.0,	-21.36275291442871,	19.053421020507812,	17.315378189086914
5256.0,	1108.0,	-19.183027267456055,	20.38886260986328,	16.668039321899414
5257.0,	1104.0,	-18.177669525146484,	22.099491119384766,	17.96954345703125
5258.0,	1106.0,	-20.095205307006836,	21.40732192993164,	18.515777587890625
5259.0,	1106.0,	-20.095205307006836,	21.40732192993164,	18.515777587890625
5260.0,	1107.0,	-20.686113357543945,	19.837841033935547,	16.95224952697754
5261.0,	1108.0,	-19.183027267456055,	20.38886260986328,	16.668039321899414
5262.0,	1109.0,	-20.223649978637695,	19.037044525146484,	15.351302146911621
5263.0,	1107.0,	-20.686113357543945,	19.837841033935547,	16.95224952697754
5264.0,	1103.0,	-21.36275291442871,	19.053421020507812,	17.315378189086914
5265.0,	1108.0,	-19.183027267456055,	20.38886260986328,	16.668039321899414
5266.0,	1107.0,	-20.686113357543945,	19.837841033935547,	16.95224952697754
5267.0,	1109.0,	-20.223649978637695,	19.037044525146484,	15.351302146911621
5268.0,	1110.0,	-20.572406768798828,	18.123111724853516,	15.543800354003906
5269.0,	1103.0,	-21.36275291442871,	19.053421020507812,	17.315378189086914
