VTX,	IDX,	Position.x,	Position.y,	Position.z
19711.0,	27974.0,	7.3646240234375,	7.385272979736328,	169.424072265625
19712.0,	27972.0,	6.687414169311523,	7.224313735961914,	169.52610778808594
19713.0,	27970.0,	7.085184097290039,	7.72615909576416,	168.03897094726562
19714.0,	27973.0,	7.759916305541992,	7.159380912780762,	169.3096466064453
19715.0,	27974.0,	7.3646240234375,	7.385272979736328,	169.424072265625
19716.0,	27975.0,	6.9676513671875,	6.7346320152282715,	170.79563903808594
19717.0,	27972.0,	6.687414169311523,	7.224313735961914,	169.52610778808594
19718.0,	27974.0,	7.3646240234375,	7.385272979736328,	169.424072265625
19719.0,	27976.0,	7.980602264404297,	6.727057933807373,	170.55393981933594
19720.0,	27974.0,	7.3646240234375,	7.385272979736328,	169.424072265625
19721.0,	27973.0,	7.759916305541992,	7.159380912780762,	169.3096466064453
19722.0,	27974.0,	7.3646240234375,	7.385272979736328,	169.424072265625
19723.0,	27977.0,	7.625782012939453,	6.913139820098877,	170.67604064941406
19724.0,	27975.0,	6.9676513671875,	6.7346320152282715,	170.79563903808594
19725.0,	27974.0,	7.3646240234375,	7.385272979736328,	169.424072265625
19726.0,	27976.0,	7.980602264404297,	6.727057933807373,	170.55393981933594
19727.0,	27977.0,	7.625782012939453,	6.913139820098877,	170.67604064941406
19728.0,	27977.0,	7.625782012939453,	6.913139820098877,	170.67604064941406
19729.0,	27978.0,	7.222593307495117,	6.247307777404785,	171.80416870117188
19730.0,	27975.0,	6.9676513671875,	6.7346320152282715,	170.79563903808594
19731.0,	27979.0,	8.201021194458008,	6.232043266296387,	171.55812072753906
19732.0,	27977.0,	7.625782012939453,	6.913139820098877,	170.67604064941406
19733.0,	27976.0,	7.980602264404297,	6.727057933807373,	170.55393981933594
19734.0,	27978.0,	7.222593307495117,	6.247307777404785,	171.80416870117188
19735.0,	27977.0,	7.625782012939453,	6.913139820098877,	170.67604064941406
19736.0,	27980.0,	7.887428283691406,	6.430393218994141,	171.68348693847656
19737.0,	27977.0,	7.625782012939453,	6.913139820098877,	170.67604064941406
19738.0,	27979.0,	8.201021194458008,	6.232043266296387,	171.55812072753906
19739.0,	27980.0,	7.887428283691406,	6.430393218994141,	171.68348693847656
19740.0,	27980.0,	7.887428283691406,	6.430393218994141,	171.68348693847656
19741.0,	27981.0,	7.518714904785156,	5.814800262451172,	172.63107299804688
19742.0,	27978.0,	7.222593307495117,	6.247307777404785,	171.80416870117188
19743.0,	27982.0,	8.451192855834961,	5.818454742431641,	172.33621215820312
19744.0,	27980.0,	7.887428283691406,	6.430393218994141,	171.68348693847656
19745.0,	27979.0,	8.201021194458008,	6.232043266296387,	171.55812072753906
19746.0,	27981.0,	7.518714904785156,	5.814800262451172,	172.63107299804688
19747.0,	27980.0,	7.887428283691406,	6.430393218994141,	171.68348693847656
19748.0,	27983.0,	8.180103302001953,	5.9767866134643555,	172.51747131347656
19749.0,	27980.0,	7.887428283691406,	6.430393218994141,	171.68348693847656
19750.0,	27982.0,	8.451192855834961,	5.818454742431641,	172.33621215820312
19751.0,	27983.0,	8.180103302001953,	5.9767866134643555,	172.51747131347656
19752.0,	27983.0,	8.180103302001953,	5.9767866134643555,	172.51747131347656
19753.0,	27984.0,	7.9259796142578125,	5.278275966644287,	173.5078125
19754.0,	27981.0,	7.518714904785156,	5.814800262451172,	172.63107299804688
19755.0,	27985.0,	8.808830261230469,	5.279858589172363,	173.2091522216797
19756.0,	27983.0,	8.180103302001953,	5.9767866134643555,	172.51747131347656
19757.0,	27982.0,	8.451192855834961,	5.818454742431641,	172.33621215820312
19758.0,	27984.0,	7.9259796142578125,	5.278275966644287,	173.5078125
19759.0,	27983.0,	8.180103302001953,	5.9767866134643555,	172.51747131347656
19760.0,	27986.0,	8.590616226196289,	5.424243927001953,	173.41212463378906
19761.0,	27983.0,	8.180103302001953,	5.9767866134643555,	172.51747131347656
19762.0,	27985.0,	8.808830261230469,	5.279858589172363,	173.2091522216797
19763.0,	27986.0,	8.590616226196289,	5.424243927001953,	173.41212463378906
19764.0,	27986.0,	8.590616226196289,	5.424243927001953,	173.41212463378906
19765.0,	27987.0,	8.305736541748047,	4.790712833404541,	174.1855926513672
19766.0,	27984.0,	7.9259796142578125,	5.278275966644287,	173.5078125
19767.0,	27988.0,	9.138381958007812,	4.80350399017334,	173.87606811523438
19768.0,	27986.0,	8.590616226196289,	5.424243927001953,	173.41212463378906
19769.0,	27985.0,	8.808830261230469,	5.279858589172363,	173.2091522216797
19770.0,	27987.0,	8.305736541748047,	4.790712833404541,	174.1855926513672
19771.0,	27986.0,	8.590616226196289,	5.424243927001953,	173.41212463378906
19772.0,	27989.0,	8.969823837280273,	4.905035495758057,	174.0701141357422
19773.0,	27986.0,	8.590616226196289,	5.424243927001953,	173.41212463378906
19774.0,	27988.0,	9.138381958007812,	4.80350399017334,	173.87606811523438
