VTX,	IDX,	Position.x,	Position.y,	Position.z
6821.0,	1735.0,	9.247469902038574,	-1.2769694328308105,	5.501830101013184
6822.0,	1739.0,	9.543439865112305,	-1.1684894561767578,	6.130529880523682
6823.0,	1731.0,	9.715860366821289,	-0.5989193916320801,	6.160999774932861
6824.0,	1732.0,	9.446940422058105,	-0.9788594841957092,	5.588009834289551
6825.0,	1738.0,	9.229280471801758,	-1.1291193962097168,	3.8431499004364014
6826.0,	1707.0,	9.570859909057617,	-0.9176493883132935,	3.510960102081299
6827.0,	1740.0,	9.428959846496582,	-1.1705694198608398,	3.3870599269866943
6828.0,	1704.0,	9.779120445251465,	-0.8517394065856934,	3.127470016479492
6829.0,	1740.0,	9.428959846496582,	-1.1705694198608398,	3.3870599269866943
6830.0,	1707.0,	9.570859909057617,	-0.9176493883132935,	3.510960102081299
6831.0,	1740.0,	9.428959846496582,	-1.1705694198608398,	3.3870599269866943
6832.0,	1704.0,	9.779120445251465,	-0.8517394065856934,	3.127470016479492
6833.0,	1702.0,	9.645970344543457,	-1.105519413948059,	2.9936599731445312
6834.0,	1739.0,	9.543439865112305,	-1.1684894561767578,	6.130529880523682
6835.0,	1741.0,	9.859060287475586,	-0.7169194221496582,	6.704319953918457
6836.0,	1731.0,	9.715860366821289,	-0.5989193916320801,	6.160999774932861
6837.0,	1729.0,	9.922980308532715,	0.00031059145112521946,	6.723899841308594
6838.0,	1731.0,	9.715860366821289,	-0.5989193916320801,	6.160999774932861
6839.0,	1741.0,	9.859060287475586,	-0.7169194221496582,	6.704319953918457
6840.0,	1702.0,	9.645970344543457,	-1.105519413948059,	2.9936599731445312
6841.0,	1742.0,	9.287229537963867,	-1.4600293636322021,	3.2191600799560547
6842.0,	1740.0,	9.428959846496582,	-1.1705694198608398,	3.3870599269866943
6843.0,	1742.0,	9.287229537963867,	-1.4600293636322021,	3.2191600799560547
6844.0,	1702.0,	9.645970344543457,	-1.105519413948059,	2.9936599731445312
6845.0,	1700.0,	9.496789932250977,	-1.3781193494796753,	2.8323800563812256
