VTX,	IDX,	Position.x,	Position.y,	Position.z
34579.0,	16288.0,	13.790186882019043,	-6.025798797607422,	146.83912658691406
34580.0,	16290.0,	13.829288482666016,	-5.781738758087158,	146.6904296875
34581.0,	16291.0,	13.980162620544434,	-6.298699378967285,	146.5571746826172
34582.0,	16290.0,	13.829288482666016,	-5.781738758087158,	146.6904296875
34583.0,	16288.0,	13.790186882019043,	-6.025798797607422,	146.83912658691406
34584.0,	16283.0,	13.668231964111328,	-5.60866641998291,	147.3356170654297
34585.0,	16287.0,	13.774916648864746,	-5.6119184494018555,	147.01031494140625
34586.0,	16292.0,	14.012381553649902,	-5.636825084686279,	147.00927734375
34587.0,	16283.0,	13.668231964111328,	-5.60866641998291,	147.3356170654297
34588.0,	16292.0,	14.012381553649902,	-5.636825084686279,	147.00927734375
34589.0,	16289.0,	13.88892936706543,	-5.653907775878906,	147.38247680664062
34590.0,	16290.0,	13.829288482666016,	-5.781738758087158,	146.6904296875
34591.0,	16291.0,	13.980162620544434,	-6.298699378967285,	146.5571746826172
34592.0,	16293.0,	14.026895523071289,	-6.124223709106445,	146.3513946533203
34593.0,	16294.0,	14.198284149169922,	-6.492351531982422,	146.4881134033203
34594.0,	16293.0,	14.026895523071289,	-6.124223709106445,	146.3513946533203
34595.0,	16291.0,	13.980162620544434,	-6.298699378967285,	146.5571746826172
34596.0,	16293.0,	14.026895523071289,	-6.124223709106445,	146.3513946533203
34597.0,	16294.0,	14.198284149169922,	-6.492351531982422,	146.4881134033203
34598.0,	16295.0,	14.297807693481445,	-6.392978668212891,	146.26722717285156
34599.0,	16287.0,	13.774916648864746,	-5.6119184494018555,	147.01031494140625
34600.0,	16290.0,	13.829288482666016,	-5.781738758087158,	146.6904296875
34601.0,	16296.0,	14.064658164978027,	-5.7816162109375,	146.6777801513672
34602.0,	16293.0,	14.026895523071289,	-6.124223709106445,	146.3513946533203
34603.0,	16296.0,	14.064658164978027,	-5.7816162109375,	146.6777801513672
34604.0,	16290.0,	13.829288482666016,	-5.781738758087158,	146.6904296875
34605.0,	16296.0,	14.064658164978027,	-5.7816162109375,	146.6777801513672
34606.0,	16292.0,	14.012381553649902,	-5.636825084686279,	147.00927734375
34607.0,	16287.0,	13.774916648864746,	-5.6119184494018555,	147.01031494140625
34608.0,	16295.0,	14.297807693481445,	-6.392978668212891,	146.26722717285156
34609.0,	16297.0,	14.200248718261719,	-6.0281524658203125,	146.38429260253906
34610.0,	16293.0,	14.026895523071289,	-6.124223709106445,	146.3513946533203
34611.0,	16296.0,	14.064658164978027,	-5.7816162109375,	146.6777801513672
34612.0,	16293.0,	14.026895523071289,	-6.124223709106445,	146.3513946533203
34613.0,	16297.0,	14.200248718261719,	-6.0281524658203125,	146.38429260253906
34614.0,	16297.0,	14.200248718261719,	-6.0281524658203125,	146.38429260253906
34615.0,	16295.0,	14.297807693481445,	-6.392978668212891,	146.26722717285156
34616.0,	16298.0,	14.401598930358887,	-6.225711822509766,	146.31027221679688
34617.0,	16297.0,	14.200248718261719,	-6.0281524658203125,	146.38429260253906
34618.0,	16298.0,	14.401598930358887,	-6.225711822509766,	146.31027221679688
34619.0,	16299.0,	14.397481918334961,	-6.172642707824707,	146.48878479003906
34620.0,	16297.0,	14.200248718261719,	-6.0281524658203125,	146.38429260253906
34621.0,	16299.0,	14.397481918334961,	-6.172642707824707,	146.48878479003906
34622.0,	16300.0,	14.292622566223145,	-6.090118408203125,	146.5481414794922
34623.0,	16300.0,	14.292622566223145,	-6.090118408203125,	146.5481414794922
34624.0,	16296.0,	14.064658164978027,	-5.7816162109375,	146.6777801513672
34625.0,	16297.0,	14.200248718261719,	-6.0281524658203125,	146.38429260253906
34626.0,	16301.0,	14.301530838012695,	-6.307123184204102,	146.62611389160156
34627.0,	16300.0,	14.292622566223145,	-6.090118408203125,	146.5481414794922
34628.0,	16299.0,	14.397481918334961,	-6.172642707824707,	146.48878479003906
34629.0,	16296.0,	14.064658164978027,	-5.7816162109375,	146.6777801513672
34630.0,	16300.0,	14.292622566223145,	-6.090118408203125,	146.5481414794922
34631.0,	16302.0,	14.182882308959961,	-5.938066482543945,	146.76953125
34632.0,	16292.0,	14.012381553649902,	-5.636825084686279,	147.00927734375
34633.0,	16296.0,	14.064658164978027,	-5.7816162109375,	146.6777801513672
34634.0,	16302.0,	14.182882308959961,	-5.938066482543945,	146.76953125
34635.0,	16300.0,	14.292622566223145,	-6.090118408203125,	146.5481414794922
34636.0,	16301.0,	14.301530838012695,	-6.307123184204102,	146.62611389160156
34637.0,	16303.0,	14.203888893127441,	-6.249523162841797,	146.67315673828125
34638.0,	16300.0,	14.292622566223145,	-6.090118408203125,	146.5481414794922
34639.0,	16303.0,	14.203888893127441,	-6.249523162841797,	146.67315673828125
34640.0,	16302.0,	14.182882308959961,	-5.938066482543945,	146.76953125
34641.0,	16304.0,	14.198284149169922,	-6.492351531982422,	146.4881134033203
34642.0,	16303.0,	14.203888893127441,	-6.249523162841797,	146.67315673828125
34643.0,	16301.0,	14.301530838012695,	-6.307123184204102,	146.62611389160156
34644.0,	16304.0,	14.198284149169922,	-6.492351531982422,	146.4881134033203
34645.0,	16305.0,	13.980162620544434,	-6.298699378967285,	146.5571746826172
34646.0,	16303.0,	14.203888893127441,	-6.249523162841797,	146.67315673828125
34647.0,	16305.0,	13.980162620544434,	-6.298699378967285,	146.5571746826172
34648.0,	16306.0,	14.074573516845703,	-6.103790283203125,	146.87210083007812
