Element, data.x, data.y, data.z, data.w
204, 0.56768, -0.22299, 0.79248, -87.51691
205, 0.69949, 0.63825, -0.32147, 36.11884
206, -0.43411, 0.73682, 0.5183, 78.02062
207, 0.50777, -0.08627, 0.85716, -87.12264
208, 0.71395, 0.59896, -0.36265, 38.48119
209, -0.48213, 0.79612, 0.36572, 98.03781
210, 0.48093, -0.1401, 0.86549, -90.28241
211, 0.68556, 0.67546, -0.27161, 32.68052
212, -0.54655, 0.72397, 0.42089, 89.38147
213, 0.34396, 0.56468, 0.75022, -40.43195
214, 0.89302, 0.0502, -0.44722, 17.1443
215, -0.2902, 0.82378, -0.487, 187.51755
216, 0.54204, -0.2581, 0.79974, -89.67159
217, 0.70534, 0.65706, -0.26601, 30.91808
218, -0.45682, 0.70827, 0.5382, 74.72725
219, 0.35846, 0.19185, 0.91362, -76.3002
220, 0.82035, 0.40236, -0.40636, 31.27146
221, -0.44556, 0.89515, -0.01315, 142.77985
222, 0.21858, 0.63781, 0.73853, -32.49335
223, 0.92337, 0.1096, -0.36793, 10.39524
224, -0.31561, 0.76236, -0.56498, 191.94788
225, 0.6017, -0.37257, 0.7065, -85.82312
226, 0.65818, 0.7324, -0.17432, 24.64165
227, -0.4525, 0.56989, 0.6859, 51.75748
228, 0.25797, 0.69922, 0.66674, -23.18081
229, 0.91592, 0.04263, -0.39909, 10.64126
230, -0.30747, 0.71363, -0.62944, 196.94617
231, 0.38534, 0.903, -0.19001, 75.21973
232, 0.92003, -0.3601, 0.15452, -68.55607
233, 0.07111, -0.23436, -0.96955, 176.74081
234, 0.38071, 0.90951, 0.1669, 38.28562
235, 0.92457, -0.37731, -0.0529, -47.03488
236, 0.01486, 0.17445, -0.98455, 201.44424
237, 0.37492, 0.48468, 0.79027, -49.52609
238, 0.89846, 0.02014, -0.4386, 15.29944
239, -0.2285, 0.87446, -0.42791, 183.62096
240, 0.42183, 0.88888, 0.17875, 35.29088
241, 0.89946, -0.43508, 0.04093, -58.77477
242, 0.11416, 0.14351, -0.98304, 200.56433
243, 0.68503, -0.69163, -0.22888, 37.96422
244, 0.69318, 0.52214, 0.49685, -67.1537
245, -0.22413, -0.49902, 0.83711, 28.83914
246, 0.40723, -0.87854, -0.24966, 51.11893
247, 0.73761, 0.15515, 0.65716, -69.75971
248, -0.53861, -0.45176, 0.7112, 43.86924
249, 0.45365, -0.81481, -0.36094, 60.49174
250, 0.70159, 0.0768, 0.70843, -71.75732
251, -0.54951, -0.57462, 0.60651, 61.34147
252, 0.78918, -0.60839, -0.08403, 16.9548
253, 0.55102, 0.64096, 0.53437, -75.20578
254, -0.27124, -0.46802, 0.84106, 27.49448
255, 0.48155, -0.76957, -0.41937, 65.28278
256, 0.68119, 0.02758, 0.73158, -72.39548
257, -0.55144, -0.63797, 0.53751, 71.7048
258, 0.90737, -0.34607, -0.23857, 20.92458
259, 0.35722, 0.33573, 0.8716, -96.90362
260, -0.22154, -0.87608, 0.42826, 90.21462
261, 0.85763, -0.51425, 0.00378, 2.50237
262, 0.15706, 0.26892, 0.95027, -99.64453
263, -0.48969, -0.81439, 0.3114, 104.24003
264, 0.63128, -0.58451, -0.50973, 63.06692
265, 0.64605, 0.03271, 0.7626, -74.74116
266, -0.42907, -0.81072, 0.39827, 93.68655
267, 0.75227, -0.14811, -0.64199, 54.68316
268, 0.45104, -0.5945, 0.66568, -31.19495
269, -0.48025, -0.79034, -0.38043, 178.09209
270, 0.72365, -0.12219, -0.67926, 57.94311
271, 0.50176, -0.58263, 0.63936, -29.65496
272, -0.47388, -0.8035, -0.36031, 176.47824
273, 0.8063, 0.56204, -0.18436, -30.59253
274, 0.57935, -0.81326, 0.05451, 43.21814
275, -0.1193, -0.15076, -0.98135, 204.54399
276, 0.66749, -0.27866, -0.69051, 67.6399
277, 0.49437, -0.52761, 0.69081, -38.15274
278, -0.55683, -0.80248, -0.21441, 161.19006
279, 0.79132, 0.36726, -0.48881, 12.23654
280, 0.5386, -0.79709, 0.27304, 19.4986
281, -0.28935, -0.47934, -0.82856, 207.49765
282, 0.71099, 0.69439, 0.11093, -66.98686
283, 0.70121, -0.68824, -0.18612, 60.46621
284, -0.05289, 0.21011, -0.97625, 184.81882
285, 0.58401, 0.50849, 0.63275, -110.39579
286, 0.80854, -0.43359, -0.39781, 67.5903
287, 0.07207, 0.74393, -0.66436, 121.78922
288, 0.84678, 0.51829, -0.11973, -36.10732
289, 0.52326, -0.85208, 0.01221, 50.29054
290, -0.09569, -0.07298, -0.99273, 201.0141
291, 0.61017, 0.39152, 0.68877, -110.36643
292, 0.78642, -0.40479, -0.46658, 72.75903
293, 0.09613, 0.82635, -0.55489, 104.86869
294, 0.70912, -0.41356, -0.57107, 59.78865
295, 0.56797, -0.14488, 0.8102, -69.65948
296, -0.4178, -0.89888, 0.13216, 126.3394
297, 0.85368, -0.00727, -0.52074, 31.10688
298, 0.4331, -0.54539, 0.71762, -36.98236
299, -0.28922, -0.83815, -0.46244, 183.76781
300, 0.6832, -0.72861, -0.04867, 9.27301
301, 0.72887, 0.67633, 0.10641, -17.04361
302, -0.04462, -0.10818, 0.99313, -0.03688
303, 0.00, 0.00, 0.00, 0.00
304, 0.00, 0.00, 0.00, 0.00
305, 0.00, 0.00, 0.00, 0.00
306, 0.00, 0.00, 0.00, 0.00
307, 0.00, 0.00, 0.00, 0.00
308, 0.00, 0.00, 0.00, 0.00
309, 0.00, 0.00, 0.00, 0.00
310, 0.00, 0.00, 0.00, 0.00
311, 0.00, 0.00, 0.00, 0.00
312, 0.00, 0.00, 0.00, 0.00
313, 0.00, 0.00, 0.00, 0.00
314, 0.00, 0.00, 0.00, 0.00
315, 0.00, 0.00, 0.00, 0.00
316, 0.00, 0.00, 0.00, 0.00
317, 0.00, 0.00, 0.00, 0.00
318, 0.00, 0.00, 0.00, 0.00
319, 0.00, 0.00, 0.00, 0.00
320, 0.00, 0.00, 0.00, 0.00
321, 0.00, 0.00, 0.00, 0.00
322, 0.00, 0.00, 0.00, 0.00
323, 0.00, 0.00, 0.00, 0.00
324, 0.00, 0.00, 0.00, 0.00
325, 0.00, 0.00, 0.00, 0.00
326, 0.00, 0.00, 0.00, 0.00
327, 0.00, 0.00, 0.00, 0.00
328, 0.00, 0.00, 0.00, 0.00
329, 0.00, 0.00, 0.00, 0.00
330, 0.00, 0.00, 0.00, 0.00
331, 0.00, 0.00, 0.00, 0.00
332, 0.00, 0.00, 0.00, 0.00
333, 0.00, 0.00, 0.00, 0.00
334, 0.00, 0.00, 0.00, 0.00
335, 0.00, 0.00, 0.00, 0.00
336, 0.00, 0.00, 0.00, 0.00
337, 0.00, 0.00, 0.00, 0.00
338, 0.00, 0.00, 0.00, 0.00
339, 0.00, 0.00, 0.00, 0.00
340, 0.00, 0.00, 0.00, 0.00
341, 0.00, 0.00, 0.00, 0.00
342, 0.00, 0.00, 0.00, 0.00
343, 0.00, 0.00, 0.00, 0.00
344, 0.00, 0.00, 0.00, 0.00
345, 0.00, 0.00, 0.00, 0.00
346, 0.00, 0.00, 0.00, 0.00
347, 0.00, 0.00, 0.00, 0.00
348, 0.00, 0.00, 0.00, 0.00
349, 0.00, 0.00, 0.00, 0.00
350, 0.00, 0.00, 0.00, 0.00
351, 0.00, 0.00, 0.00, 0.00
352, 0.00, 0.00, 0.00, 0.00
353, 0.00, 0.00, 0.00, 0.00
354, 0.00, 0.00, 0.00, 0.00
355, 0.00, 0.00, 0.00, 0.00
356, 0.00, 0.00, 0.00, 0.00
357, 0.00, 0.00, 0.00, 0.00
358, 0.00, 0.00, 0.00, 0.00
359, 0.00, 0.00, 0.00, 0.00
360, 0.00, 0.00, 0.00, 0.00
361, 0.00, 0.00, 0.00, 0.00
362, 0.00, 0.00, 0.00, 0.00
363, 0.00, 0.00, 0.00, 0.00
364, 0.00, 0.00, 0.00, 0.00
365, 0.00, 0.00, 0.00, 0.00
366, 0.00, 0.00, 0.00, 0.00
367, 0.00, 0.00, 0.00, 0.00
368, 0.00, 0.00, 0.00, 0.00
369, 0.00, 0.00, 0.00, 0.00
370, 0.00, 0.00, 0.00, 0.00
371, 0.00, 0.00, 0.00, 0.00
372, 0.00, 0.00, 0.00, 0.00
373, 0.00, 0.00, 0.00, 0.00
374, 0.00, 0.00, 0.00, 0.00
375, 0.00, 0.00, 0.00, 0.00
376, 0.00, 0.00, 0.00, 0.00
377, 0.00, 0.00, 0.00, 0.00
378, 0.00, 0.00, 0.00, 0.00
379, 0.00, 0.00, 0.00, 0.00
380, 0.00, 0.00, 0.00, 0.00
381, 0.00, 0.00, 0.00, 0.00
382, 0.00, 0.00, 0.00, 0.00
383, 0.00, 0.00, 0.00, 0.00
